Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
317,60,85,1308,FALSE,1.5,0,25/05/2026 14:24,FALSE,0,1,93,30.1,2739,,1.4,13,25/05/2026 15:10,FALSE,0,1,340DB72E,93,2,14,GF,60/85,1028,1028,Perdix AI
Time (sec),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar,
600,28,0,3,0.83,0.22,0,0,7,1,0,13,FALSE,TRUE,0,0,0,0,199,1.42,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
610,27.7,0,3,0.82,0.22,0,0,7,1,0,13,FALSE,TRUE,0,0,0,0,199,1.42,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
620,27.4,0,3,0.82,0.22,0,0,7,1,0,13,FALSE,TRUE,0,0,0,0,199,1.42,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
630,26.8,0,3,0.81,0.22,0,0,7,1,0,13,FALSE,TRUE,0,0,0,0,199,1.42,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
640,27.8,0,3,0.83,0.22,0,0,7,1,0,13,FALSE,TRUE,0,0,0,0,199,1.42,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
650,28.7,0,3,0.84,0.22,0,0,6,1,0,13,FALSE,TRUE,0,0,0,0,199,1.42,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
660,29,0,3,0.85,0.22,0,0,5,1,0,13,FALSE,TRUE,0,0,0,0,199,1.42,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
670,28.8,0,3,0.85,0.22,0,0,5,1,0,13,FALSE,TRUE,0,0,0,0,199,1.42,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
680,28.5,0,3,0.84,0.22,0,0,5,1,0,13,FALSE,TRUE,0,0,0,0,199,1.42,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
690,27.6,0,3,0.82,0.22,0,0,6,1,0,13,FALSE,TRUE,0,0,0,0,199,1.42,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
700,27.4,0,3,0.82,0.22,0,0,6,1,0,13,FALSE,TRUE,0,0,0,0,199,1.42,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
710,27.6,0,3,0.82,0.22,0,0,5,1,0,13,FALSE,TRUE,0,0,0,0,199,1.42,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
720,28.6,0,3,0.84,0.22,0,0,4,1,0,13,FALSE,TRUE,0,0,0,0,199,1.42,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
730,29,0,3,0.85,0.22,0,0,4,1,0,13,FALSE,TRUE,0,0,0,0,199,1.42,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
740,29.2,0,3,0.86,0.22,0,0,4,1,0,13,FALSE,TRUE,0,0,0,0,199,1.42,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
750,29.5,0,3,0.86,0.22,0,0,4,1,0,13,FALSE,TRUE,0,0,0,0,199,1.42,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
760,29.5,0,3,0.86,0.22,0,0,3,1,0,13,FALSE,TRUE,0,0,0,0,199,1.42,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
770,29.6,0,3,0.87,0.22,0,0,3,1,0,13,FALSE,TRUE,0,0,0,0,199,1.42,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
780,29,0,3,0.85,0.22,0,0,3,1,0,13,FALSE,TRUE,0,0,0,0,200,1.42,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
790,28.9,0,3,0.85,0.22,0,0,3,1,0,13,FALSE,TRUE,0,0,0,0,199,1.42,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
800,29.2,0,3,0.86,0.22,0,0,3,1,0,13,FALSE,TRUE,0,0,0,0,199,1.42,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
810,28.4,0,3,0.84,0.22,0,0,3,1,0,13,FALSE,TRUE,0,0,0,0,199,1.42,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
820,26.5,0,3,0.8,0.22,0,0,4,1,0,13,FALSE,TRUE,0,0,0,0,199,1.42,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
830,25.2,0,3,0.77,0.22,0,0,5,1,0,13,FALSE,TRUE,0,0,0,0,199,1.42,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
840,25.6,0,3,0.78,0.22,0,0,5,1,0,12,FALSE,TRUE,0,0,0,0,199,1.42,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
850,26.1,0,3,0.79,0.22,0,0,4,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
860,26.2,0,3,0.79,0.22,0,0,4,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
870,27.6,0,3,0.82,0.22,0,0,3,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
880,26.7,0,3,0.8,0.22,0,0,3,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
890,26.3,0,3,0.8,0.22,0,0,3,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
900,27,0,3,0.81,0.22,0,0,3,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
910,27.6,0,3,0.82,0.22,0,0,2,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
920,26.8,0,3,0.81,0.22,0,0,2,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
930,26.3,0,3,0.8,0.22,0,0,2,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
940,25,0,3,0.77,0.22,0,0,3,1,0,12,FALSE,TRUE,0,0,0,0,200,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
950,25.3,0,3,0.77,0.22,0,0,3,1,0,12,FALSE,TRUE,0,0,0,0,200,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
960,25.1,0,3,0.77,0.22,0,0,2,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
970,25.7,0,3,0.78,0.22,0,0,2,1,0,12,FALSE,TRUE,0,0,0,0,200,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
980,26,0,3,0.79,0.22,0,0,2,1,0,12,FALSE,TRUE,0,0,0,0,200,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
990,27.1,0,3,0.81,0.22,0,0,1,1,0,12,FALSE,TRUE,0,0,0,0,200,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1000,28.6,0,3,0.84,0.22,0,0,1,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1010,29.7,0,3,0.87,0.22,0,0,0,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1020,30.1,0,3,0.88,0.22,0,0,0,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1030,29.9,0,3,0.87,0.22,0,0,0,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1040,28.9,0,3,0.85,0.22,0,0,0,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1050,28.8,6,4,0.85,0.22,0,1,0,1,0,12,FALSE,TRUE,0,0,0,0,200,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1060,29.2,6,4,0.86,0.22,0,1,0,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1070,29.3,6,4,0.86,0.22,0,1,0,1,0,12,FALSE,TRUE,0,0,0,0,200,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1080,28.3,6,4,0.84,0.22,0,1,0,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1090,27.8,6,4,0.83,0.22,0,1,0,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1100,27.4,6,4,0.82,0.22,0,1,0,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1110,26.7,6,4,0.8,0.22,0,1,0,1,0,12,FALSE,TRUE,0,0,0,0,200,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1120,26.2,6,4,0.79,0.22,0,1,0,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1130,25.2,6,4,0.77,0.22,0,1,0,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1140,23.7,6,4,0.74,0.22,0,1,0,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1150,23.9,6,4,0.74,0.22,0,1,0,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1160,25.1,6,4,0.77,0.22,0,1,0,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1170,25.9,6,4,0.78,0.22,0,1,0,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1180,26,6,4,0.79,0.22,0,1,0,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1190,26.2,6,4,0.79,0.22,0,1,0,1,0,12,FALSE,TRUE,0,0,0,0,199,1.4,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1200,27.7,6,4,0.82,0.22,0,1,0,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1210,26.9,6,4,0.81,0.22,0,1,0,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1220,27.5,6,4,0.82,0.22,0,1,0,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1230,27.5,6,4,0.82,0.22,0,1,0,1,0,12,FALSE,TRUE,0,0,0,0,199,1.4,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1240,27.9,6,4,0.83,0.22,0,1,0,1,0,12,FALSE,TRUE,0,0,0,0,199,1.41,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1250,27.2,6,4,0.81,0.22,0,1,0,1,0,12,FALSE,TRUE,0,0,0,0,199,1.4,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
